EC Reference Number,Entity name
PP2009,"Civil Society and Common Wealth"
PP201,"The Progressive Party"
PP2012,"Reform"
PP2013,"Brentwood First"
PP2014,"The Democratic Realist Party"
PP2015,"The Democratic Realist Party"
PP2016,"Save Your Services"
PP2017,"Wear Valley Independent Group"
PP202,"Merton Park Ward Independent Residents"
PP2027,"Beer, Baccy and Crumpet Party"
PP2028,"Spennymoor Independents"
PP203,"South Tyneside Progressives"
PP2030,"Hackney First"
PP2032,"Liberty GB"
PP2034,"Justice For Men & Boys"
PP2036,"Local Voice"
PP2037,"Orkney Manifesto Group"
PP2038,"Independents for Bristol"
PP204,"Independent Working Class Association"
PP2042,"Sandown Independents"
PP2043,"The United Democratic Party"
PP2045,"Left Unity"
PP2049,"Marylebone Residents"
PP205,"Runnymede Independent Residents' Group"
PP2051,"Alliance Party of Scotland"
PP2054,"Pensioners Peoples Party (PPP)"
PP2056,"Spelthorne Independent Party"
PP2057,"The People's Unity Party"
PP2058,"The Say No Party"
PP206,"The Independent and Progressive Labour Party"
PP2063,"The 30-50 Coalition"
PP2064,"The Independent Socialist Party"
PP207,"Hornchurch Residents Association"
PP2071,"Protestant Coalition"
PP2078,"The Nationwide Party"
PP2086,"Vote Roehampton"
PP209,"British Rural Independent Party"
PP2090,"NI21"
PP2091,"Better Bedford"
PP2095,"Jubilee Party"
PP21,"The Citizens Party of Halton"
PP210,"21st Century Conservative Democrats"
PP2108,"Independent Loxford"
PP211,"Party of the English People's"
PP2115,"21st Century Democracy"
PP2119,"21st Century Democracy"
PP212,"Adrian Knapper Independent Party"
PP2120,"Yorkshire First"
PP213,"The End is Nigh"
PP2136,"Independent Labour Group"
PP2137,"All People's Party"
PP2138,"The Inspire Party"
PP2139,"The Inspire Party"
PP214,"The Fat Cat Party"
PP2140,"Suffolk Together"
PP2141,"New Deal"
PP2143,"No Bedroom Tax - No Welfare Cuts"
PP2144,"The Money Free Party"
PP215,"Wales for the Welsh"
PP2152,"Interactive Democracy"
PP2155,"Tower Hamlets First"
PP216,"Local Education Action By Parents"
PP2161,"PiP"
PP2162,"The Globelization Liberation Dream Party"
PP2164,"NO2EU"
PP2165,"British Independents"
PP2167,"Republican Network For Unity"
PP2168,"THE PARTY PARTY"
PP217,"Stoke-on-Trent INDEPENDENT Group"
PP2171,"British Commonwealth Party"
PP2172,"Save King George Hospital Party"
PP2176,"Kaizen Liberal Utilitarian Democrats"
PP218,"West Hanworth Independent Group"
PP2183,"Harlow Independent Party"
PP2185,"The Victims Final Right Party"
PP2187,"Patriotic Socialist Party"
PP219,"People's Independent Party 2002"
PP2194,"Equal and Just Society"
PP2195,"NOTA"
PP2196,"Promise"
PP22,"Reform UK Party"
PP220,"Social Justice Party"
PP221,"Hersham Village Society"
PP2214,"Britain First"
PP2215,"Valley Independents"
PP2216,"Democratic Reform Party"
PP222,"Britwellian Group"
PP2226,"The Free Energy Party UK"
PP223,"Rotherham Independents"
PP2232,"Community Action Party"
PP2233,"The Blue Party"
PP2234,"Stand"
PP2237,"Hoi Polloi"
PP224,"A Bee C"
PP2242,"Old Swan Against the Cuts"
PP2245,"Scottish Libertarian Party"
PP2247,"Valour"
PP2248,"Valour"
PP225,"Environment and Wildlife"
PP226,"Save St John's Wood Adventure Playground"
PP2263,"Progressive Party"
PP2264,"Make Willesden Green"
PP2265,"Keep Our St Helier Hospital Party"
PP2268,"Internet Democrats"
PP2269,"Class War"
PP227,"English Pan-Nationalist Alliance"
PP2277,"Democracy First"
PP228,"Community Action Party"
PP2287,"Mexborough First"
PP229,"SEWA (Social Empowerment Welfare Association)"
PP2295,"Fermanagh Against Fracking"
PP2299,"Formby Residents Action Group"
PP23,"Morecambe Bay Independents"
PP230,"Ewell Court Residents' Association"
PP2300,"Yourvoice"
PP2301,"North Somerset First Independents"
PP2302,"Christian Democrat Party for a Consensus"
PP2303,"The North East Party"
PP2305,"Vapers In Power"
PP2309,"Europeans Party"
PP231,"Independent Group of Councillors"
PP2310,"The Reality Party"
PP2313,"Harmony Party"
PP2314,"Mitcham Independent Party"
PP2317,"The United in Europe Party"
PP232,"Wimbledon Park Ward Independent Residents' Party"
PP2328,"Northwood Hills Community Champions"
PP233,"Independent Local Government Party"
PP2331,"ACC"
PP2335,"Wigan Real Labour"
PP2338,"Campaign West Independent"
PP2339,"Doncaster First Independents Group"
PP234,"Kirkby Labour Alliance Party"
PP2342,"The Roman Party. Ave"
PP2343,"Red Flag - Anti-Corruption"
PP2345,"TLC - The Local Community - Shepton Mallet"
PP235,"The Southport Party"
PP2351,"Everyone's Party"
PP2353,"West Suffolk Independents"
PP2355,"Deep Earth Ecosphere Preservation Alliance"
PP2356,"The People's Mandate Party"
PP236,"Oatlands Independents"
PP237,"Ratepayers (Staffordshire Moorlands)"
PP238,"Rainham Resident's Association"
PP2380,"The Whig Party"
PP239,"Norwich Over The Water"
PP2396,"Hong Kong Independence Party"
PP2398,"The Independents Alliance"
PP2399,"Al-Zebabist Nation of Ooog"
PP240,"Independent - Putting Putney First"
PP241,"Save Arthur Simpson Library"
PP2413,"The Eccentric Party of Great Britain"
PP242,"Swindon Org UK Party"
PP243,"Social Democratic Party"
PP2430,"The Commonwealth Liberation Party"
PP2438,"For Russia"
PP244,"The Holland-on-Sea Residents' Association"
PP2448,"Scottish Jacobite Party"
PP245,"The No Party"
PP246,"Chigwell Residents"
PP2464,"Alter Change - Politics. Only Different"
PP2468,"Residents for Uttlesford"
PP247,"MP3 Party"
PP2476,"Ubuntu Party"
PP248,"Pensioners Party (Scotland)"
PP2482,"UK Meritocracy Party"
PP2486,"Something New"
PP2487,"Independents at Mendip"
PP249,"Devizes Guardians"
PP25,"Newham Independents Association"
PP250,"Better Bedford Independent Party"
PP2503,"Bournemouth Independent Alliance"
PP251,"Halstead Residents' Association"
PP2512,"Rochdale First Party"
PP252,"Independents @ Swansea"
PP2520,"The Just Political Party"
PP2525,"Independent Democrats"
PP2528,"Hull Red Labour"
PP2533,"2015 Constitutionalists UK"
PP2534,"Power To The People"
PP2535,"Guildford Greenbelt Group"
PP2539,"Party for a United Thanet"
PP254,"Scottish Independence Party"
PP255,"The First Democrat Party"
PP2550,"Village Voice"
PP2551,"The Above and Beyond Party"
PP2552,"Cannabis is Safer than Alcohol"
PP256,"The Britannia Party"
PP2563,"Population Party UK"
PP2565,"British Constitution Party"
PP2567,"Children of the Atom"
PP257,"Tidworth, Perham and Ludgershall Residents' Association"
PP2576,"Stapleford Alliance"
PP2577,"Keep It Real Party"
PP258,"English National Party"
PP2582,"Stamford Group of Independents"
PP259,"The English Progressive and Liberty Party"
PP2595,"We Are The Reality Party"
PP2597,"Free United Kingdom Party"
PP26,"The Caring Party"
PP260,"Mayor 4 Stoke"
PP2600,"Vox Pop"
PP2601,"East Wycombe Independent Party"
PP261,"Anti Party"
PP2617,"Macclesfield First"
PP2619,"Meritocracy Pàrtaidh na h-Alba"
PP262,"UK Anti Party"
PP2624,"North East Cheshire Independents"
PP2625,"The UK Progressive Democracy Party"
PP2628,"Reduce VAT in Sport"
PP263,"1st Action Party"
PP2634,"People Social Freedom Party"
PP2638,"World Peace Through Song"
PP264,"1st Action Party"
PP2642,"Our West Lancashire"
PP2645,"New Parliament Party"
PP2649,"The Sensible Party"
PP265,"Richmondshire Independents"
PP2650,"Manston Airport Independent Party"
PP2651,"The Priority Party"
PP2652,"The Radical Party"
PP266,"Community Awareness Party/ Protecting Children"
PP2662,"Restore the Family For Children's Sake"
PP2663,"Farham Residents"
PP267,"Real Democracy Party"
PP2676,"BollingtonFirst"
PP268,"Real Democracy Party"
PP2683,"The British Voice"
PP2684,"East Devon Alliance"
PP2688,"The Sustainable Population Party"
PP269,"UK Social and Countryside Party"
PP2690,"Kitten Independence Party"
PP2691,"Oxfordshire Independent Party"
PP2692,"The Local Party"
PP27,"The Grey Party"
PP270,"UK Social and Countryside Party"
PP2707,"National Front"
PP271,"Mid and West Wales Pensioners"
PP2712,"Crewe West End First"
PP2714,"The New Society of Worth"
PP2715,"Party of Dissent"
PP272,"Abolish The Assembly"
PP273,"The Idle Toad"
PP274,"The Consensus"
PP275,"Adam Lyal's Witchery Tour Party"
PP276,"All Scotland Pensioners Party"
PP277,"Caerphilly Constituency Independents"
PP278,"Imperial Party"
PP279,"Wythall Residents' Association"
PP28,"Socialist Party (Northern Ireland)"
PP280,"Reality"
PP281,"Whitwell Resident's Association"
PP282,"Parent Excluded"
PP283,"Bristolian"
PP285,"The People's Alliance"
PP286,"Durham Taxpayers Alliance"
PP287,"Vote 2 Stop The War"
PP288,"Glossopdale Independent Party"
PP289,"Calverton First Independents Party"
PP29,"All-Party Alliance Against Brussels"
PP290,"Swanscombe and Greenhithe Residents Association"
PP291,"Ashford Independent"
PP292,"The Fishing Party"
PP293,"Independent Green Voice"
PP294,"Aintree Ratepayer Association"
PP295,"New England Party"
PP296,"Thornaby Independent Association"
PP297,"The Plymouth Party"
PP298,"Firefighters Against Cuts"
PP299,"Protect Rural Scotland Party"
PP3,"Northern Ireland Unionist Party"
PP30,"Upminster and Cranham Residents Association"
PP300,"Brockworth Residents Group"
PP301,"Local Health Concern"
PP302,"Maldon & District Independent Democratic Alliance"
PP304,"Trinity"
PP305,"Green Party"
PP306,"Middlewich First"
PP307,"2003 Community Party"
PP308,"Hextable Independent"
PP31,"Ulster Third Way"
PP311,"Broadstairs Says Stop The War"
PP312,"Independent Democratic Associates"
PP313,"Newmarket Independents Party"
PP314,"Lanarkshire Labour Alliance Party"
PP315,"Wirral Independent Network"
PP316,"Aylesbury Resident's Action Party"
PP317,"Melton Borough Progressive Alliance"
PP318,"Dorset Stop The War"
PP319,"Old Windsor Residents Association"
PP32,"National Liberal Party - True Liberalism"
PP321,"Rhondda Peoples Party"
PP322,"Haverhill Representative Alliance"
PP323,"No War Protest Vote"
PP324,"Berkshire Stop The War Party"
PP325,"Warwick Residents' Association"
PP326,"Non-Political Felpham First"
PP327,"Campaign Against Hospital Closures in Lincolnshire"
PP328,"Liverpool Labour Community Party"
PP329,"Save Local Hospitals - Dunfermline, Perth, Stirling"
PP33,"John Lilburne Democratic Party"
PP330,"Am Partaidh Dhuthchail - The Rural Party"
PP331,"Forward Wales"
PP332,"Peace and Progress"
PP333,"The Rhema Party"
PP334,"Alternative Party"
PP335,"Organisation of Free Democrats"
PP336,"Fenland Workers Party"
PP339,"Local Community Party (L.C.P.)"
PP34,"No Candidate Deserves My Vote!"
PP340,"UK Community Issues"
PP341,"Rochford District Residents"
PP342,"The Republican Party"
PP344,"www.xat.org"
PP345,"England First Party"
PP347,"Public Services, Not War Party"
PP348,"The Ligali Party"
PP349,"The St Albans Party"
PP35,"No Candidate Deserves My Vote!"
PP350,"Red and Green Party"
PP351,"Common Sense Party"
PP352,"The New Party"
PP353,"The New Party"
PP354,"Truly Independent English Party"
PP355,"National Society for a Better Britain"
PP356,"Morley Borough Independents"
PP357,"Isle of Wight Party"
PP358,"Caerleon Independent Progress Party"
PP359,"Single Issues Party"
PP36,"The Childrens Party"
PP360,"Senior Citizens Party"
PP361,"Residents' Association of London"
PP362,"The Respect Party"
PP363,"Respect - The Unity Coalition"
PP365,"People Before Politics"
PP366,"The Civilisation Party"
PP367,"Community Campaign (Hart)"
PP368,"Democratic Socialist Alliance - People Before Profit"
PP369,"Llais Ceredigion"
PP37,"The Childrens Party"
PP370,"Your Party"
PP371,"Your Party"
PP372,"Free Scotland Party [FSP]"
PP373,"The Ormskirk Party"
PP374,"The Radical Party of Great Britain"
PP375,"Common Good"
PP376,"Common Good"
PP377,"Association of Bedfordshire Citizens"
PP378,"The Peoples Party For Better Government"
PP379,"Party for True Democracy"
PP38,"Havering Residents Association"
PP380,"Party for True Democracy"
PP381,"Canvey Island Independent Party"
PP382,"Alliance For Diversity In Community"
PP383,"Pensioners Party"
PP384,"Scottish Wind Watch"
PP385,"Europe First"
PP387,"The Blair Must Go Party"
PP388,"Save Bristol North Baths Party"
PP389,"Stop! Durrington's Overdevelopment - Save Titnores' Trees"
PP39,"Sinn Féin"
PP390,"The Potteries Alliance"
PP391,"Cardiff Independent Citizens"
PP392,"Christian Party Proclaiming Christ's Lordship"
PP393,"BNSP"
PP394,"H.O.O.P!"
PP395,"Official Anti-Water Tax Candidate"
PP396,"City Independents"
PP397,"The New World Socialist Green Party"
PP398,"The New World Socialist Green Party"
PP4,"United Kingdom Pathfinders"
PP40,"Workers' Liberty"
PP400,"British First Party"
PP401,"N.O.T.A."
PP402,"N.O.T.A."
PP403,"Motorists, Equity & Unity Party"
PP404,"BIG (Brentford Issues Governance)"
PP405,"The Congressional Party"
PP406,"The Congressional Party"
PP407,"Conservative Democratic Alliance"
PP408,"Romford Residents Association"
PP409,"The English New Deal Alliance"
PP41,"Democratic Labour Party"
PP410,"East Dunbartonshire Independent Alliance"
PP411,"Socialist Unity"
PP412,"Local Freedom For Islington Residents Party"
PP413,"Beyond"
PP414,"Build Duddon and Morecambe Bridges"
PP415,"Epping & Area Residents Association"
PP416,"Pensions Action Alliance"
PP417,"Bromsgrove Independent Group"
PP418,"telepathicpartnership.com"
PP419,"telepathicpartnership.com"
PP42,"Stamford Ward Residents' Association"
PP420,"Hull Independents"
PP421,"TUSP"
PP422,"Orange Party"
PP423,"Hackney Independent"
PP424,"Veritas"
PP425,"Veritas"
PP426,"Vivamus"
PP427,"Ingleby Barwick Independent Society"
PP428,"1st Action Party"
PP429,"1st Action Party"
PP43,"Hull Independent Labour Group"
PP430,"The British Democratic Reform Party"
PP431,"British Public Party"
PP432,"S O S! Voters Against Overdevelopment of Northampton"
PP433,"Childwatch UK"
PP434,"Labour Party of Northern Ireland"
PP435,"Silent Majority Party"
PP436,"Citizens Democracy Party"
PP438,"The Resolutionist Party"
PP439,"The Resolutionist Party"
PP44,"Independent Kidderminster Hospital and Health Concern"
PP440,"Yarm Independent Association"
PP442,"The Publican Party"
PP443,"Motorcycle News Party"
PP444,"Vote For A Change"
PP445,"Vote For A Change"
PP446,"National Republican And Democratic Party"
PP447,"National Republican And Democratic Party"
PP449,"Islam Zinda Baad Platform"
PP45,"The Referendum Party"
PP450,"Ashfield Independents"
PP451,"Get Britain Back Party"
PP452,"Get Britain Back Party"
PP453,"Protest Vote Party"
PP454,"Open-Forum"
PP456,"Supporting Greenshoots"
PP457,"Billingham Independents Association"
PP458,"No More Excessive Housing In Kent"
PP459,"Pride In Paisley Party"
PP46,"Scottish Socialist Party"
PP461,"Short Fat Solicitor Party"
PP462,"For Integrity And Trust In Government"
PP463,"Demanding Honesty In Politics And Whitehall"
PP464,"Firefly"
PP465,"The Khair (Best) Party"
PP466,"Humanitas"
PP467,"Removal Of Tetramasts In Cornwall"
PP468,"CH.A.N.G.E."
PP469,"CH.A.N.G.E."
PP47,"The Countryside Party"
PP470,"Newcastle Academy with Christian Values Party"
PP471,"People of Horsham First Party"
PP472,"Operation Sundial"
PP473,"Operation Sundial"
PP474,"The Caleb Party"
PP475,"The Caleb Party"
PP476,"Xtraordinary People Party"
PP477,"Pink Party"
PP478,"Centreground Party"
PP479,"Centreground Party"
PP48,"Tewkesbury Independents"
PP480,"Iraq War. Not In My Name"
PP481,"Movement for Active Democracy (M.A.D.)"
PP482,"Glasnost Party"
PP483,"Glasnost Party"
PP484,"Max Power Party"
PP485,"Max Power Party"
PP486,"Passion For Property"
PP487,"Tiger's Eye"
PP488,"War Veteran's Pro-Traditional Family Party"
PP489,"Their Party"
PP49,"St. George's Hill Independents"
PP490,"The Dungeons Death And Taxes Party"
PP491,"Magna Carta Conservation Party Great Britain"
PP492,"Mainstream"
PP494,"Workers' Union of Ireland"
PP496,"Virtue Currency Cognitive Appraisal Party"
PP497,"Natural Partnership of Great Britain"
PP498,"The Non Political Party"
PP5,"English Independence Party"
PP50,"Christian Democratic Party"
PP500,"The United Christian Party"
PP501,"Senior Values"
PP503,"Teesdale Independent Association"
PP504,"Mansfield Independent Forum"
PP505,"Emergent Party"
PP506,"Emergent Party"
PP507,"The Scottish Jacobite Party"
PP508,"Nationalist Alliance"
PP509,"Nationalist Alliance"
PP51,"Conservative and Unionist Party"
PP510,"World Truth Coalition"
PP511,"Imagine"
PP512,"One London"
PP513,"Money Reform Party"
PP514,"Money Reform Party"
PP515,"Torbay Residents Independent Forum"
PP516,"Cambridge Community First"
PP517,"Alliance Southend Party"
PP518,"Stop Congestion Charging Party"
PP519,"Integrity"
PP52,"Conservative Party"
PP520,"BPP - Putting Britons First"
PP521,"PFRC"
PP522,"PFRC"
PP523,"Free England"
PP524,"Victory United Party"
PP525,"Populist Alliance"
PP526,"Equal Parenting Alliance"
PP527,"Abolish Forth Bridge Tolls Party"
PP528,"Epping Community Action Group"
PP529,"Hounslow Independent Alliance"
PP53,"Labour Party"
PP530,"Barnsley Independent Group"
PP531,"Scotland Against Crooked Lawyers"
PP532,"Mums' Army"
PP533,"Mums' Army"
PP534,"Brooklands Residents' Association"
PP535,"North Somerset Community Action Association"
PP536,"Croydon Ratepayers Against Croydon Council"
PP537,"Save Chase Farm"
PP538,"Lewisham Peoples' Alliance"
PP539,"Procapitalism"
PP54,"The Liberal Party"
PP540,"Procapitalism"
PP541,"Collier Row & Mawneys Residents Association"
PP542,"Kent Campaign Against Increasing Council Taxes"
PP543,"Merthyr Independents"
PP544,"Telford and Wrekin People's Association"
PP545,"Save Our NHS Group"
PP546,"The Independent Voice of Longford"
PP547,"Orange Squash"
PP548,"Save Sloane Square"
PP549,"Space Navies Party"
PP55,"SDLP (Social Democratic & Labour Party)"
PP550,"Space Navies Party"
PP551,"Vision and Voice"
PP552,"The Clarendon Terrace Society"
PP553,"Save Huddersfield N.H.S."
PP554,"Thamesmead Community Party"
PP555,"Community Performance First"
PP556,"Medway Independent Party"
PP557,"MK Independent"
PP559,"Socialist Alliance"
PP56,"Council Tax Payers Party (England's Own)"
PP560,"Doncaster Against Demolition"
PP561,"PPPILA"
PP562,"The NHS First Party"
PP563,"English Awareness Party"
PP564,"The Roman Party. Ave!"
PP565,"Traditional Democrats"
PP566,"Traditional Democrats"
PP569,"Men's Representative Party"
PP57,"Socialist People's Party"
PP570,"Ukpopdems - Popular Democrats"
PP571,"TRIP'S Party"
PP572,"TRIP'S Party"
PP573,"E.P.P."
PP574,"The True English (Poetry) Party"
PP575,"Vote Liberty Vote Freedom"
PP576,"The New Aristocracy"
PP577,"Freedom-4-Choice"
PP578,"Brighton & Hove Independents"
PP579,"Teignmouth Alliance of Independents"
PP58,"Mebyon Kernow - The Party for Cornwall"
PP580,"The Momentum Party"
PP581,"The Momentum Party"
PP582,"The Blah Party"
PP583,"The Blah Party"
PP584,"The Scottish Cosmopolitans"
PP587,"Selston Parish Independents"
PP588,"The Had Enough Party"
PP589,"Save Bedford Hospital"
PP59,"Esher Residents Association"
PP590,"Red and Green Alliance Party"
PP591,"Stoneleigh and Auriol Residents' Association"
PP592,"Anti-Crime Party"
PP593,"Anti-Crime Party"
PP594,"Resurgence"
PP595,"East Herts People"
PP596,"the independence index"
PP597,"the independence index"
PP598,"Boston District Independents"
PP6,"Cymru Rydd"
PP60,"Democratic Alliance"
PP600,"Socialist Studies Party (1904)"
PP601,"The Animal Protection Party"
PP602,"The Animal Protection Party"
PP603,"The Dragon Party"
PP604,"Solidarity - Scotland's Socialist Movement"
PP605,"mums4justice"
PP606,"mums4justice"
PP607,"New Nationalist Party"
PP608,"Middle England Party"
PP609,"Get Snouts Out The Trough"
PP61,"Residents' Association of Cuddington"
PP610,"Enterprise Party"
PP611,"Middlesbrough Independents"
PP612,"The Car Party"
PP614,"K.P.P. - Kearsley Peoples Party"
PP615,"East Kilbride Alliance"
PP616,"Animal Welfare Party"
PP617,"Scottish Voice"
PP618,"People's Voice"
PP619,"Fresh"
PP62,"Brentwood and Ongar Independent Conservative Party"
PP620,"British Right Alliance"
PP622,"People Before Profit Alliance"
PP623,"women4theworld"
PP624,"women4theworld"
PP625,"Ashtead Independents"
PP626,"Independent Action"
PP627,"Independent Action"
PP628,"You Party"
PP629,"You Party"
PP63,"Green Party"
PP630,"Community Independent Party (UK)"
PP631,"Reform - The Liberal and Progressive Movement"
PP632,"Reform - The Liberal and Progressive Movement"
PP633,"Socialist Equality Party"
PP634,"The Street Party"
PP635,"The Street Party"
PP636,"Ramsgate First"
PP637,"Shepway Independents"
PP638,"Staffordshire Independent Group"
PP639,"The Peoples Government"
PP64,"Thames Ditton / Weston Green Residents' Association"
PP640,"Cumbernauld Independent Councillors Alliance"
PP641,"Party Party"
PP642,"Party Party"
PP643,"Barlborough First"
PP644,"Safer Henley Independent Party"
PP645,"Scottish Enterprise Party"
PP646,"East Lindsey Independent Group"
PP647,"Herne Bay First Independent Party"
PP648,"Suffolk Together"
PP649,"Unity For Peace And Socialism"
PP65,"The Official Monster Raving Loony Party"
PP650,"Southampton First"
PP651,"The Anti-Trident Party"
PP652,"Llantwit First Independents"
PP653,"The Dover Alliance"
PP654,"Action To Save St.John's Hospital"
PP655,"For Darwen"
PP656,"The Southampton Save Our Services Party"
PP657,"North Yorkshire Coast Party"
PP658,"Newtown Independent Party"
PP659,"Mercian Party"
PP66,"Official Monster Raving Loony Party"
PP660,"The Borders Party"
PP661,"Tendring First"
PP662,"Craven Ratepayers Action Group"
PP663,"Friends of The Lewes Arms"
PP664,"Horbury Independent Political Party"
